vendor_id,category,latitude,longitude,avg_rating,total_reviews,completed_jobs,price_min,price_max,is_verified
56aef61a-0a21-4de0-91fd-4cdfd687e2c2,Catering,9.6615,80.0255,3.4,29,76,500,1500,false
e8f11b41-68f5-45f1-9f81-1d6519109e27,Photography,8.5874,81.2152,4.8,6,52,19500,53000,false
c4708e99-9241-4587-a879-99ac2ea4ffd5,Event Planning,6.6828,80.3992,4.8,46,10,42500,106500,true
db2c2629-d561-43a9-ab7a-02d9fc72124a,Videography,6.9934,81.055,4.1,34,82,25000,63500,false
a3928c77-70b8-4c67-8989-55eb9beb2292,Catering,8.3114,80.4037,5,116,3,500,1500,false
45c66d35-0215-4f70-a654-63ec7211f85c,Event Planning,6.0535,80.221,4.1,2,11,57000,164500,false
60179abf-5d0d-4bc6-b34d-57cb59958646,Decoration,8.3114,80.4037,3.4,76,29,21000,60500,true
96092fef-c824-42d3-a960-aaf3000b6aad,Photography,6.6828,80.3992,4.4,27,90,18000,49000,false
0708841a-9db1-41cb-a8f3-e455eead4a1b,Videography,7.2083,79.8358,3.4,57,73,26500,70000,false
78c64843-41b0-47b6-b727-82fb9beb6185,Decoration,6.9271,79.8612,4.9,75,0,30000,73000,true
58bdd71a-56d1-4b85-a490-5c253cb11f00,Catering,8.5874,81.2152,4.5,69,71,500,1500,false
2f939677-e40d-47f7-b63a-eb0c2ae15ab3,DJ & Music,8.5874,81.2152,4.1,31,5,29500,86500,false
69093a05-78d4-4dad-a67a-efe5ea51e6e1,Floral Design,9.6615,80.0255,4.7,76,69,11500,29500,true
687d41dc-0cb4-446c-8e71-e5376123fc27,Cakes & Sweets,8.5874,81.2152,3.4,7,40,5500,17000,false
50c7d0e9-70af-4ffe-a90b-d530d9d18435,Cakes & Sweets,9.6615,80.0255,3.6,72,32,4000,11500,false
41f408ab-2aff-4b5b-8dde-f62e5cb6d775,Decoration,7.2906,80.6337,4.2,69,38,24000,73500,false
36f8ccfe-7bf0-4d8c-b8ce-308c7210c2cd,Venue,6.9934,81.055,4.6,109,40,52000,137000,false
383db33d-e8bb-4c4b-8950-2dd549f1f0ab,DJ & Music,7.4863,80.3647,4.2,61,68,29000,100000,true
5011ac40-b03d-4e9e-b1fb-eea8600fa3be,Venue,7.2083,79.8358,3.6,93,50,66500,249500,true
5281813f-8185-40e0-b54e-1d96273f48bc,Photography,7.2906,80.6337,3.4,58,3,23500,79500,true
d0e0b3dc-e96f-46b4-941a-7360214e048c,Videography,8.3114,80.4037,4.8,99,33,39000,108500,true
722546d9-2878-4ede-ac70-becb0c593a61,Makeup & Beauty,6.9271,79.8612,4.9,113,17,11500,42000,true
8cd5f39f-9def-47da-bc36-57e3f4f3794f,Videography,8.3114,80.4037,4.9,9,43,26500,79000,true
576fc7d1-3a39-44a3-9b24-bd0c128f682b,Floral Design,6.9934,81.055,4.5,69,62,12500,35500,false
203b1655-5ad0-432b-9af7-944383064bbb,Photography,8.3114,80.4037,4.3,17,0,20500,70500,false
26d4839f-e391-49e5-8982-c0bc45801a6a,Venue,6.0535,80.221,3.8,89,83,68500,177000,false
3360fd6b-f56d-4e43-9ee0-aa437fb2f879,Venue,6.6828,80.3992,4.5,48,53,68500,209500,false
e7e4544c-b323-47e5-85b2-bdbaef6eabe0,Videography,6.9271,79.8612,4.6,35,40,34000,87000,false
399741bb-5ca8-4b71-ac3c-ea8cfe96e374,Catering,6.6828,80.3992,4,47,52,500,1500,false
659af55b-8010-4ea0-a275-7668bc8c3e36,Event Planning,9.6615,80.0255,4.8,41,62,61000,175000,true
ef4da549-ef8f-4d4e-a6ad-7db1aa6cb2e0,Videography,6.6828,80.3992,4.8,104,43,27000,81500,false
bfdebc7c-13a9-4425-bc89-ee98e10eddd2,Catering,7.4863,80.3647,4.6,79,77,500,1500,false
9eb23a3d-7c59-487f-8867-1a68765bac7b,Videography,6.6828,80.3992,4.4,120,86,39000,134000,true
cb0609f1-1e44-4066-adfd-2b04a15b8c30,Makeup & Beauty,7.2906,80.6337,4.1,71,81,10500,32500,true
f55f1324-2778-4b26-9a22-b82217a8b4df,Event Planning,9.6615,80.0255,3.5,116,71,43500,123000,false
dfcf44b1-36a8-4015-862b-8da36f09fdda,Photography,6.0535,80.221,4.5,95,64,17500,45500,true
29862fbb-fbb9-4bc6-ac3f-0becd43dcdea,Decoration,9.6615,80.0255,3.9,37,49,20500,52500,false
ed85f2fb-eab7-4447-a3ed-5b3167a5a4fe,Makeup & Beauty,9.6615,80.0255,4.2,61,72,8000,24000,true
71ab839d-df1c-41bf-8d8e-12a4c16d9f8f,Photography,7.4863,80.3647,3.9,71,88,21000,68500,true
33efcdd4-952d-4572-aeb1-9540546e8ec2,Venue,7.717,81.7,4.5,42,78,79000,251000,true
c08234fb-4185-4066-8132-0c1a7205e65e,Venue,9.6615,80.0255,3.6,120,68,65000,158500,true
f50f67bc-ac04-4592-90db-fdca0840c8f7,Event Planning,9.6615,80.0255,3.9,135,6,61000,170000,false
530d1278-1a79-4c67-9e1c-c3e43acfccf9,DJ & Music,7.2906,80.6337,4.2,80,39,28500,84500,true
90947872-5810-4c60-a8ba-72632e18b273,Videography,7.717,81.7,4.3,78,5,25000,59000,true
bb74ac18-f8e6-4fb0-a8ef-3920d6023551,Floral Design,7.2083,79.8358,3.6,4,32,15500,38500,false
9f3f9bd8-18a2-48d9-a8c1-be28e4ad139e,Photography,6.6828,80.3992,4.5,52,85,19000,43500,false
ab9ba7a5-def7-4043-8636-b5170d6ca510,DJ & Music,8.3114,80.4037,4.2,127,25,26000,69000,false
516e4773-6560-40a4-b69b-9fe64e9296d4,Cakes & Sweets,6.6828,80.3992,3.9,72,18,5000,15500,false
240a8649-8a7e-4906-9ef1-c3de4c26131e,Makeup & Beauty,5.9549,80.555,4.8,36,23,9000,22000,false
b861e0ca-4076-46e3-a49f-223910ca8329,Venue,7.2906,80.6337,3.6,62,37,57000,141000,false
